Author_ID,Name
38230313500,Lesley Brankin
38230313900,Greg Banecki
38238469100,Alan Gay
37653040000,Deyang Song
37389878300,Eric Golin
37282925600,Robert van Liere
37662471200,Chris Thornborrow
38237258900,Andre J. S. Wilson
37378053800,Chris Faigle
37350343500,Taosong He
37283017700,Anselm Spoerri
38229760200,Tom M. Morrow
37288557900,Sumit Ghosh
37356141500,Abdul Waheed
37265498100,Diane T. Rover
37276747000,Hans-Peter Kriegel
37283129200,Thomas Seidl
38230911700,Matt Grayson
38230273400,Chris Pelkie
37844196100,Graham J. Wills
37664370800,Robert A. Cross
38241485100,Mark S. Peercy
38241005600,Alevoor Ravishankar Rao
38152190200,Gerald L.Lohse
37332114400,Bernice Rogowitz
37267462200,Brian Corrie
37354987500,Paul Mackerras
37267352000,Alex Pang
38237967800,Kyle Smith
37282560200,Amitabh Varshney
37295063200,Frederick P Brooks
38237285500,Peter A. Fletcher
38230275800,Anthony J. Bladek
37281713600,Doug Ranken
37268533900,John George
38238355700,Dachywan Wu
37355168100,James Robergé
38230275300,Douglas J. Cork
38231180100,Bao Gia Nguyen
38073947900,Thom Grace
38230296700,George Celniker
37831251800,Indranil Chakravarty
38138503900,Jan Moorman
38231210700,Stephen Tyson
38237385000,Brennan Williams
37372011800,Hans Georg Pagendarm
38237924800,Harald F. Mayer
38229696200,Behnam Tabatabai
38227818100,Elizabeth Kirby
38227775600,Henri Videau
38231095800,Paulo Mora De Freitas
38240697100,P.C. Chen
37424455800,Hans Drevermann
37386293700,D. Kuhn
38242073300,B. S. Nilsson
37086980016,Robert J. Moorehead II
37616769800,Z. Zhu
38162573200,J.-D. Boissonnat
38230940600,Benjamin Geiger
38230282100,Patrizia Palamidese
38230281800,Maria CARMELA Betro
38230282600,G. Muccioli
37424767600,Harvey Cline
38227741600,Christopher Nafis
37294705600,Ron Kikinis
38075861700,David Altobelli
38227801800,Langham Gleason Md
38242170000,D.I. Abramov
38229763600,V.V. Gusev
37388732400,Stanislav Klimenko
38229016300,W. Renz
37282569700,T.M. Rhyne
37659205100,William Ivey
37659204100,Loey Knapp
37661428600,Tom Mace
37372247300,Uselton
37659266300,Geoff Dorn
37663885300,Charbel Farhat
37284186700,Michael Vannier
37659267100,Kim Esbensen
37659441100,L. M. Stone
37608641000,Thomas Erickson
37279760100,Benjamin B. Bederson
37659316200,P. Rothman
37659318600,R. Muzzy
37664331500,Hans Hinterberger
37439279300,Mitchell Roth
37331284900,Richard M. Guritz
37399659100,Mike Botts
37659722200,Jon D. Dykstra
37658792900,Lee S. Elson
38180426300,Steven J. Goodman
37067501400,Meemong Lee
37298450200,Holly Rushmeier
37658795400,Anthony Hamins
37653029600,M.-Y. Choi
37346827500,Pramod M. Mahadev
37275883700,Richard D. Christie
37294194900,Christian Roux
37298707200,Jean Louis Coatrieux
37377461900,Jean-Louis Dillenseger
37267911400,Elliot K. Fishman
37301688700,Murray Loew
37429534100,H.-P. Meinzer
37376744200,Tarek K. Alameldin
37659208100,Mardelle M Shepley
37658782100,Lars-Arne Schreyer
37649338300,Marcus Grimm
37444949500,Andreas Johannsen
37282559500,Robert J. Moorhead
37649097800,P. Peterson
37659689000,B. Hayden
37611726800,Frank David Fracchia
37565489200,Andrei State
37652072800,David T. Chen
37659378600,Chris Tector
37663829500,Andrew Brandt
37657346300,Hong Chen
37282411600,Ryutarou Ohbuchi
38180023500,Michael Bajura
37659239700,GÃ¡bor Domokos
37659240600,Randy Clinton Paffenroth
37269835500,S.E. Parker
37378609800,R. Samtaney
37284061600,J.M. Favre
37345867700,J. Hahn
37355831300,A. Mankofsky
37647622000,E. P. Szuszczewicz
37661825700,P. Blanchard
37662543900,C. Goodrich
37659038800,D. McNabb
37063581200,Ravi Kulkarni
37062832500,D. Kamins
37349545700,Naim Alper
37646740200,S.V. Matveyev
38181039700,James W. Durkin
38181916900,John F. Hughes
37265786500,Claudio Montani
37659209500,Riccardo Scateni
37270887900,Roberto Scopigno
37607264700,Maria M. Loughlin
37286405800,John F. Hughes
37653860300,Deb Banerjee
37656395900,Chris Morley
37574116600,Wayne Smith
37658772900,L.K. Forssell
37266622300,Charles W Grant
37353973100,G.O. Domik
37659327200,Bernd Gutkauf
37282598900,David S. Ebert
37653125700,Jim Scott
37372244200,Yair Kurzion
37659258900,Ray Twiddy
37659261200,John Cavallo
37659260900,Shahram M. Shiri
37391683900,Manfred Brill
37427262100,H.-C. Rodrian
37659291300,Wladimir Djatschin
37659203900,M. Sramek
37663438100,K. L. Duffin
